MM:DD:YYYY hh:mm:ss,time_elapsed_ms,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,FR_Count_Right,FR_Count_Left,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,RPR_Right,RPR_Count_Right,RPR_Left,RPR_Count_Left
8/26/2026 18:54:44,2520,1.16.3,Barbosa-48h,0,4.21,nan,1,0,0,Right,Left,0,1,0,0,nan,nan,0.04,3,0,3,0
8/26/2026 18:54:45,4250,1.16.3,Barbosa-48h,0,4.21,nan,1,0,0,Left,Left,1,1,0,0,nan,nan,0.19,3,0,3,0
8/26/2026 18:55:11,30097,1.16.3,Barbosa-48h,0,4.20,nan,1,0,0,PeriodStart,Left,1,1,0,0,nan,nan,nan,3,0,3,0
8/26/2026 18:55:16,35324,1.16.3,Barbosa-48h,0,4.20,3,1,0,0,Pellet,Left,1,1,1,0,1.10,nan,nan,3,0,3,0
8/26/2026 18:55:17,35685,1.16.3,Barbosa-48h,0,4.20,nan,1,0,0,Redraw,Left,1,1,1,0,nan,nan,nan,3,0,1,0
8/26/2026 18:55:18,37404,1.16.3,Barbosa-48h,0,4.20,nan,1,0,0,Left,Left,2,1,1,0,nan,nan,0.09,3,0,1,0
8/26/2026 18:55:20,38426,1.16.3,Barbosa-48h,0,4.20,nan,1,0,0,Right,Left,2,2,1,0,nan,nan,0.20,3,0,1,1
8/26/2026 18:55:22,41206,1.16.3,Barbosa-48h,0,4.20,2,1,0,1,Pellet,Left,2,2,2,0,0.92,6,nan,3,0,1,1
8/26/2026 18:55:23,41568,1.16.3,Barbosa-48h,0,4.20,nan,1,0,1,Redraw,Left,2,2,2,0,nan,nan,nan,3,0,4,0
8/26/2026 18:55:24,42969,1.16.3,Barbosa-48h,0,4.20,nan,1,0,1,Left,Left,3,2,2,0,nan,nan,0.08,3,0,4,0
8/26/2026 18:55:25,43957,1.16.3,Barbosa-48h,0,4.20,nan,1,0,1,Right,Left,3,3,2,0,nan,nan,0.06,3,0,4,1
8/26/2026 18:55:25,44156,1.16.3,Barbosa-48h,0,4.21,nan,1,0,1,RightEarly,Left,3,3,2,0,nan,nan,nan,3,0,4,1
8/26/2026 18:55:25,44378,1.16.3,Barbosa-48h,0,4.20,nan,1,0,1,Redraw,Left,3,3,2,0,nan,nan,nan,3,0,4,0
8/26/2026 18:55:26,44845,1.16.3,Barbosa-48h,0,4.20,nan,1,0,1,Left,Left,4,3,2,0,nan,nan,0.00,3,0,4,0
