,counter,sync_channel,timestamp,count_channel,count_value,edge
0,1,4,2026-01-27 11:39:50.844,,,falling
1,2,4,2026-01-27 11:39:50.845,,,falling
2,3,4,2026-01-27 11:39:50.846,,,falling
3,4,4,2026-01-27 11:39:50.847,,,falling
4,5,4,2026-01-27 11:39:50.848,,,falling
5,6,4,2026-01-27 11:39:50.921,,,falling
6,7,4,2026-01-27 11:39:50.922,,,falling
7,8,4,2026-01-27 11:39:50.923,,,falling
8,9,4,2026-01-27 11:39:50.924,,,falling
9,10,4,2026-01-27 11:39:50.925,,,falling
10,11,4,2026-01-27 11:39:50.926,,,falling
11,12,4,2026-01-27 11:39:50.927,,,falling
12,13,4,2026-01-27 11:39:50.928,,,falling
13,14,4,2026-01-27 11:39:50.929,,,falling
14,15,4,2026-01-27 11:39:50.930,,,falling
15,16,4,2026-01-27 11:39:51.886,,,falling
16,17,4,2026-01-27 11:39:51.887,,,falling
17,18,4,2026-01-27 11:39:51.888,,,falling
18,19,4,2026-01-27 11:39:51.889,,,falling
19,20,4,2026-01-27 11:39:51.890,,,falling
20,21,4,2026-01-27 11:39:51.891,,,falling
21,22,4,2026-01-27 11:39:51.964,,,falling
22,23,4,2026-01-27 11:39:51.965,,,falling
23,24,4,2026-01-27 11:39:51.966,,,falling
24,25,4,2026-01-27 11:39:51.967,,,falling
25,26,4,2026-01-27 11:39:51.968,,,falling
26,27,4,2026-01-27 11:39:51.969,,,falling
27,28,4,2026-01-27 11:39:51.970,,,falling
28,29,4,2026-01-27 11:39:51.971,,,falling
29,30,4,2026-01-27 11:39:51.972,,,falling
30,31,4,2026-01-27 11:39:51.973,,,falling
31,32,4,2026-01-27 11:39:53.023,,,falling
32,33,4,2026-01-27 11:39:53.024,,,falling
33,34,4,2026-01-27 11:39:53.025,,,falling
34,35,4,2026-01-27 11:39:53.026,,,falling
35,36,4,2026-01-27 11:39:53.027,,,falling
36,37,4,2026-01-27 11:39:53.028,,,falling
37,38,4,2026-01-27 11:39:53.029,,,falling
38,39,4,2026-01-27 11:39:53.030,,,falling
39,40,4,2026-01-27 11:39:53.031,,,falling
40,41,4,2026-01-27 11:39:53.103,,,falling
41,42,4,2026-01-27 11:39:53.105,,,falling
42,43,4,2026-01-27 11:39:53.106,,,falling
43,44,4,2026-01-27 11:39:53.107,,,falling
44,45,4,2026-01-27 11:39:53.108,,,falling
45,46,4,2026-01-27 11:39:53.109,,,falling
46,47,4,2026-01-27 11:39:53.110,,,falling
47,48,4,2026-01-27 11:39:53.111,,,falling
48,49,4,2026-01-27 11:39:53.112,,,falling
49,50,4,2026-01-27 11:39:53.113,,,falling
50,51,4,2026-01-27 11:39:55.952,,,falling
51,52,4,2026-01-27 11:39:57.844,,,falling
52,53,4,2026-01-27 11:39:57.846,,,falling
