millis,sync4_train_start,bnc_interval_ms,sync4_interval_ms,,,,,
124140.73,47:49.7,,,,,Mean,Min,Max
124640.02,47:50.2,499.29,500,-0.71,,-0.022391753,-8.899999999,0.960000001
124708.08,47:50.3,68.06,68,0.06,,,,
127956.85,47:53.5,3248.77,3248,0.77,,,,
128019.87,47:53.6,63.02,64,-0.98,,,,
128087.93,47:53.7,68.06,68,0.06,,,,
128564.74,47:54.2,476.81,476,0.81,,,,
145059.66,48:10.7,16494.92,16495,-0.08,,,,
145465.81,48:11.1,406.15,406,0.15,,,,
145533.86,48:11.1,68.05,69,-0.95,,,,
146595.73,48:12.2,1061.87,1061,0.87,,,,
146658.75,48:12.3,63.02,63,0.02,,,,
146726.81,48:12.3,68.06,68,0.06,,,,
147263.27,48:12.9,536.46,537,-0.54,,,,
160879.83,48:26.5,13616.56,13617,-0.44,,,,
161283.43,48:26.9,403.6,403,0.6,,,,
161351.49,48:26.9,68.06,68,0.06,,,,
162288.06,48:27.9,936.57,937,-0.43,,,,
162351.08,48:27.9,63.02,63,0.02,,,,
162419.14,48:28.0,68.06,68,0.06,,,,
162836.47,48:28.4,417.33,417,0.33,,,,
189518.05,48:55.1,26681.58,26682,-0.42,,,,
189921.58,48:55.5,403.53,403,0.53,,,,
189989.63,48:55.6,68.05,68,0.05,,,,
190785.9,48:56.4,796.27,797,-0.73,,,,
190848.92,48:56.4,63.02,63,0.02,,,,
190916.98,48:56.5,68.06,68,0.06,,,,
212548.22,49:18.1,21631.24,21631,0.24,,,,
239046.58,49:44.6,26498.36,26498,0.36,,,,
239486.79,49:45.1,440.21,441,-0.79,,,,
239554.85,49:45.1,68.06,68,0.06,,,,
240267.39,49:45.9,712.54,712,0.54,,,,
240330.41,49:45.9,63.02,63,0.02,,,,
240398.47,49:46.0,68.06,68,0.06,,,,
241054.12,49:46.6,655.65,656,-0.35,,,,
261237.11,50:06.8,20182.99,20183,-0.01,,,,
261660.18,50:07.3,423.07,423,0.07,,,,
261728.24,50:07.3,68.06,68,0.06,,,,
262456.81,50:08.1,728.57,729,-0.43,,,,
262519.83,50:08.1,63.02,63,0.02,,,,
262587.89,50:08.2,68.06,68,0.06,,,,
263660.96,50:09.3,1073.07,1073,0.07,,,,
274405.24,50:20.0,10744.28,10744,0.28,,,,
274858.76,50:20.5,453.52,454,-0.48,,,,
274926.82,50:20.5,68.06,68,0.06,,,,
275705.93,50:21.3,779.11,779,0.11,,,,
275768.95,50:21.4,63.02,63,0.02,,,,
275837,50:21.4,68.05,68,0.05,,,,
276671.78,50:22.3,834.78,835,-0.22,,,,
307097.48,50:52.7,30425.7,30425,0.7,,,,
307502.63,50:53.1,405.15,405,0.15,,,,
307570.69,50:53.2,68.06,69,-0.94,,,,
308267.8,50:53.9,697.11,697,0.11,,,,
308330.82,50:53.9,63.02,63,0.02,,,,
308398.88,50:54.0,68.06,68,0.06,,,,
309650.78,50:55.2,1251.9,1252,-0.1,,,,
375804.78,52:01.4,66154,66154,0,,,,
376509.56,52:02.1,704.78,704,0.78,,,,
376577.61,52:02.2,68.05,69,-0.95,,,,
377312.92,52:02.9,735.31,735,0.31,,,,
377375.94,52:03.0,63.02,63,0.02,,,,
377444,52:03.0,68.06,68,0.06,,,,
378696.36,52:04.3,1252.36,1252,0.36,,,,
389516.27,52:15.1,10819.91,10820,-0.09,,,,
390032.52,52:15.6,516.25,516,0.25,,,,
390100.57,52:15.7,68.05,68,0.05,,,,
390797.89,52:16.4,697.32,698,-0.68,,,,
390860.9,52:16.5,63.01,63,0.01,,,,
390928.96,52:16.5,68.06,68,0.06,,,,
391882.7,52:17.5,953.74,954,-0.26,,,,
408931.85,52:34.5,17049.15,17049,0.15,,,,
409341.42,52:34.9,409.57,409,0.57,,,,
409409.47,52:35.0,68.05,68,0.05,,,,
410151.62,52:35.7,742.15,743,-0.85,,,,
410214.64,52:35.8,63.02,63,0.02,,,,
410282.69,52:35.9,68.05,68,0.05,,,,
410759.56,52:36.4,476.87,476,0.87,,,,
454012.48,53:19.6,43252.92,43253,-0.08,,,,
454080.24,53:19.7,67.76,68,-0.24,,,,
492533.86,53:58.1,38453.62,38454,-0.38,,,,
493102.59,53:58.7,568.73,569,-0.27,,,,
493170.65,53:58.8,68.06,68,0.06,,,,
493835.18,53:59.4,664.53,664,0.53,,,,
493898.2,53:59.5,63.02,63,0.02,,,,
493966.26,53:59.6,68.06,68,0.06,,,,
499745.94,54:05.3,5779.68,5780,-0.32,,,,
499812.78,54:05.4,66.84,67,-0.16,,,,
500794.09,54:06.4,981.31,981,0.31,,,,
500861.85,54:06.5,67.76,68,-0.24,,,,
511757.34,54:17.4,10895.49,10895,0.49,,,,
511824.18,54:17.4,66.84,67,-0.16,,,,
512276.22,54:17.9,452.04,452,0.04,,,,
512343.06,54:17.9,66.84,67,-0.16,,,,
512506.79,54:18.1,163.73,164,-0.27,,,,
512573.66,54:18.2,66.87,67,-0.13,,,,
513021.46,54:18.6,447.8,447,0.8,,,,
513088.29,54:18.7,66.83,67,-0.17,,,,
513986.88,54:19.6,898.59,899,-0.41,,,,
514053.71,54:19.6,66.83,67,-0.17,,,,
514241.75,54:19.8,188.04,188,0.04,,,,
514308.59,54:19.9,66.84,67,-0.16,,,,
514628.06,54:20.2,319.47,319,0.47,,,,
514694.9,54:20.3,66.84,67,-0.16,,,,
514886.6,54:20.5,191.7,192,-0.3,,,,
514953.44,54:20.5,66.84,66,0.84,,,,
515568.57,54:21.2,615.13,616,-0.87,,,,
515635.41,54:21.2,66.84,66,0.84,,,,
515823.06,54:21.4,187.65,188,-0.35,,,,
515889.9,54:21.5,66.84,67,-0.16,,,,
517426.89,54:23.0,1536.99,1537,-0.01,,,,
517493.72,54:23.1,66.83,67,-0.17,,,,
517707.53,54:23.3,213.81,214,-0.19,,,,
517774.38,54:23.4,66.85,66,0.85,,,,
519052.27,54:24.6,1277.89,1278,-0.11,,,,
519119.1,54:24.7,66.83,67,-0.17,,,,
520051.37,54:25.6,932.27,932,0.27,,,,
520118.22,54:25.7,66.85,67,-0.15,,,,
520726.15,54:26.3,607.93,608,-0.07,,,,
520792.98,54:26.4,66.83,67,-0.17,,,,
521147.11,54:26.7,354.13,354,0.13,,,,
521213.95,54:26.8,66.84,67,-0.16,,,,
521554.17,54:27.1,340.22,340,0.22,,,,
521621.01,54:27.2,66.84,67,-0.16,,,,
521692.24,54:27.3,71.23,71,0.23,,,,
522601.79,54:28.2,909.55,910,-0.45,,,,
522668.63,54:28.3,66.84,67,-0.16,,,,
522997.5,54:28.6,328.87,329,-0.13,,,,
523064.35,54:28.7,66.85,66,0.85,,,,
523441.93,54:29.0,377.58,378,-0.42,,,,
523508.77,54:29.1,66.84,67,-0.16,,,,
523834.14,54:29.4,325.37,325,0.37,,,,
523900.98,54:29.5,66.84,67,-0.16,,,,
527163.82,54:32.8,3262.84,3263,-0.16,,,,
527230.68,54:32.8,66.86,67,-0.14,,,,
527856.07,54:33.4,625.39,625,0.39,,,,
527922.94,54:33.5,66.87,67,-0.13,,,,
533966.32,54:39.6,6043.38,6043,0.38,,,,
534033.15,54:39.6,66.83,67,-0.17,,,,
534106.91,54:39.7,73.76,74,-0.24,,,,
534321.72,54:39.9,214.81,215,-0.19,,,,
534388.56,54:40.0,66.84,67,-0.16,,,,
534474.56,54:40.1,86,86,0,,,,
534729.72,54:40.3,255.16,255,0.16,,,,
534796.57,54:40.4,66.85,67,-0.15,,,,
535151.4,54:40.7,354.83,354,0.83,,,,
535218.24,54:40.8,66.84,67,-0.16,,,,
535579.77,54:41.2,361.53,362,-0.47,,,,
535646.61,54:41.2,66.84,67,-0.16,,,,
535739.74,54:41.3,93.13,93,0.13,,,,
536005.18,54:41.6,265.44,265,0.44,,,,
536072.02,54:41.7,66.84,67,-0.16,,,,
536398.91,54:42.0,326.89,327,-0.11,,,,
536465.75,54:42.1,66.84,67,-0.16,,,,
537122.65,54:42.7,656.9,657,-0.1,,,,
537189.48,54:42.8,66.83,67,-0.17,,,,
537560.14,54:43.2,370.66,370,0.66,,,,
537626.98,54:43.2,66.84,67,-0.16,,,,
537698.21,54:43.3,71.23,71,0.23,,,,
537778.51,54:43.4,80.3,81,-0.7,,,,
537845.36,54:43.4,66.85,66,0.85,,,,
537972.43,54:43.6,127.07,127,0.07,,,,
624101.29,56:09.7,86128.86,86129,-0.14,,,,
624168.13,56:09.8,66.84,67,-0.16,,,,
646468.76,56:32.1,22300.63,22301,-0.37,,,,
646536.54,56:32.1,67.78,68,-0.22,,,,
646664.82,56:32.3,128.28,128,0.28,,,,
647229.57,56:32.8,564.75,565,-0.25,,,,
647297.35,56:32.9,67.78,68,-0.22,,,,
647389.17,56:33.0,91.82,91,0.82,,,,
647874.62,56:33.5,485.45,486,-0.55,,,,
647942.39,56:33.5,67.77,68,-0.23,,,,
648512.08,56:34.1,569.69,569,0.69,,,,
648579.87,56:34.2,67.79,68,-0.21,,,,
649557.57,56:35.2,977.7,978,-0.3,,,,
649625.35,56:35.2,67.78,68,-0.22,,,,
665428.14,56:51.0,15802.79,15802,0.79,,,,
667260.31,56:52.9,1832.17,1833,-0.83,,,,
667616.43,56:53.2,356.12,356,0.12,,,,
668845.81,56:54.4,1229.38,1229,0.38,,,,
682655.47,57:08.2,13809.66,13810,-0.34,,,,
683126.54,57:08.7,471.07,471,0.07,,,,
683194.59,57:08.8,68.05,68,0.05,,,,
683934.08,57:09.5,739.49,739,0.49,,,,
683997.1,57:09.6,63.02,63,0.02,,,,
684065.16,57:09.7,68.06,68,0.06,,,,
684482.35,57:10.1,417.19,418,-0.81,,,,
698908.75,57:24.5,14426.4,14426,0.4,,,,
699485.14,57:25.1,576.39,576,0.39,,,,
699553.2,57:25.1,68.06,68,0.06,,,,
700240.53,57:25.8,687.33,688,-0.67,,,,
700303.55,57:25.9,63.02,63,0.02,,,,
700371.61,57:26.0,68.06,68,0.06,,,,
705816.53,57:31.4,5444.92,5445,-0.08,,,,
751541.09,58:17.1,45724.56,45724,0.56,,,,
751607.95,58:17.2,66.86,67,-0.14,,,,
759284.58,58:24.9,7676.63,7677,-0.37,,,,
759351.45,58:24.9,66.87,67,-0.13,,,,
761887.88,58:27.5,2536.43,2536,0.43,,,,
761954.75,58:27.5,66.87,67,-0.13,,,,
775473.93,58:41.1,13519.18,13519,0.18,,,,
776024.81,58:41.6,550.88,551,-0.12,,,,
776092.87,58:41.7,68.06,68,0.06,,,,
776820.41,58:42.4,727.54,728,-0.46,,,,
776883.43,58:42.5,63.02,63,0.02,,,,
776951.49,58:42.5,68.06,68,0.06,,,,
779759.25,58:45.4,2807.76,2808,-0.24,,,,
911479.71,00:57.1,131720.46,131720,0.46,,,,
911547.49,00:57.1,67.78,68,-0.22,,,,
921327.51,01:06.9,9780.02,9780,0.02,,,,
921395.29,01:07.0,67.78,68,-0.22,,,,
922751.83,01:08.3,1356.54,1356,0.54,,,,
922819.6,01:08.4,67.77,68,-0.23,,,,
930791.23,01:16.4,7971.63,7972,-0.37,,,,
930858.09,01:16.5,66.86,67,-0.14,,,,
931020.01,01:16.6,161.92,161,0.92,,,,
931086.88,01:16.7,66.87,67,-0.13,,,,
951329.07,01:36.9,20242.19,20243,-0.81,,,,
951395.93,01:37.0,66.86,66,0.86,,,,
1001098.42,02:26.7,49702.49,49703,-0.51,,,,
1001166.21,02:26.8,67.79,68,-0.21,,,,
1005616.68,02:31.2,4450.47,4450,0.47,,,,
1006151.03,02:31.7,534.35,535,-0.65,,,,
1006219.09,02:31.8,68.06,68,0.06,,,,
1006970.02,02:32.6,750.93,751,-0.07,,,,
1007033.04,02:32.6,63.02,63,0.02,,,,
1007101.1,02:32.7,68.06,68,0.06,,,,
1020328.08,02:45.9,13226.98,13227,-0.02,,,,
1020394.93,02:46.0,66.85,66,0.85,,,,
1055200.84,03:20.8,34805.91,34806,-0.09,,,,
1055268.61,03:20.9,67.77,68,-0.23,,,,
1124829.1,04:30.4,69560.49,69561,-0.51,,,,
1177247.02,05:22.8,52417.92,52418,-0.08,,,,
1177313.87,05:22.9,66.85,67,-0.15,,,,
1177412.8,05:23.0,98.93,99,-0.07,,,,
1179111.79,05:24.7,1698.99,1699,-0.01,,,,
1179178.66,05:24.8,66.87,66,0.87,,,,
1179741.41,05:25.3,562.75,563,-0.25,,,,
1179808.28,05:25.4,66.87,67,-0.13,,,,
1180133.98,05:25.7,325.7,326,-0.3,,,,
1180200.84,05:25.8,66.86,67,-0.14,,,,
1181143.3,05:26.7,942.46,942,0.46,,,,
1181210.16,05:26.8,66.86,67,-0.14,,,,
1182314.26,05:27.9,1104.1,1104,0.1,,,,
1182381.12,05:28.0,66.86,67,-0.14,,,,
1182731.68,05:28.3,350.56,350,0.56,,,,
1182798.53,05:28.4,66.85,67,-0.15,,,,
1182869.8,05:28.5,71.27,72,-0.73,,,,
1183537.25,05:29.1,667.45,667,0.45,,,,
1183604.11,05:29.2,66.86,67,-0.14,,,,
1184069.56,05:29.7,465.45,465,0.45,,,,
1184136.41,05:29.7,66.85,67,-0.15,,,,
1184482.68,05:30.1,346.27,346,0.27,,,,
1184549.54,05:30.1,66.86,67,-0.14,,,,
1184755.11,05:30.3,205.57,206,-0.43,,,,
1184821.98,05:30.4,66.87,67,-0.13,,,,
1185008.25,05:30.6,186.27,186,0.27,,,,
1185075.1,05:30.7,66.85,67,-0.15,,,,
1200875.05,05:46.5,15799.95,15800,-0.05,,,,
1200941.91,05:46.5,66.86,67,-0.14,,,,
1201282.9,05:46.9,340.99,341,-0.01,,,,
1201349.76,05:46.9,66.86,67,-0.14,,,,
1201443.65,05:47.0,93.89,93,0.89,,,,
1201903.21,05:47.5,459.56,460,-0.44,,,,
1201970.07,05:47.6,66.86,67,-0.14,,,,
1202759.33,05:48.4,789.26,789,0.26,,,,
1202826.19,05:48.4,66.86,67,-0.14,,,,
1203150.24,05:48.7,324.05,324,0.05,,,,
1203217.1,05:48.8,66.86,67,-0.14,,,,
1203312.53,05:48.9,95.43,95,0.43,,,,
1203550.82,05:49.1,238.29,239,-0.71,,,,
1203617.68,05:49.2,66.86,66,0.86,,,,
1204198.68,05:49.8,581,581,0,,,,
1204265.55,05:49.9,66.87,67,-0.13,,,,
1241680.36,06:27.3,37414.81,37415,-0.19,,,,
1241748.13,06:27.3,67.77,68,-0.23,,,,
1322706.67,07:48.3,80958.54,80959,-0.46,,,,
1322773.53,07:48.4,66.86,66,0.86,,,,
1322933.92,07:48.5,160.39,161,-0.61,,,,
1323000.78,07:48.6,66.86,67,-0.14,,,,
1328141.19,07:53.7,5140.41,5140,0.41,,,,
1328208.05,07:53.8,66.86,67,-0.14,,,,
1336276.01,08:01.9,8067.96,8068,-0.04,,,,
1345257.34,08:10.9,8981.33,8981,0.33,,,,
1345324.2,08:10.9,66.86,67,-0.14,,,,
1348083.46,08:13.7,2759.26,2759,0.26,,,,
1348150.32,08:13.7,66.86,67,-0.14,,,,
1348780.99,08:14.4,630.67,631,-0.33,,,,
1348847.86,08:14.4,66.87,67,-0.13,,,,
1353610.3,08:19.2,4762.44,4762,0.44,,,,
1353677.17,08:19.3,66.87,67,-0.13,,,,
1353808.59,08:19.4,131.42,132,-0.58,,,,
1354450.39,08:20.0,641.8,641,0.8,,,,
1354517.26,08:20.1,66.87,67,-0.13,,,,
1398541.66,09:04.1,44024.4,44025,-0.6,,,,
1398608.53,09:04.2,66.87,66,0.87,,,,
1473415.11,10:19.0,74806.58,74807,-0.42,,,,
1473481.96,10:19.1,66.85,67,-0.15,,,,
1481504.6,10:27.1,8022.64,8023,-0.36,,,,
1481571.46,10:27.2,66.86,67,-0.14,,,,
1481668.62,10:27.3,97.16,97,0.16,,,,
1482151.07,10:27.7,482.45,482,0.45,,,,
1482217.94,10:27.8,66.87,67,-0.13,,,,
1482376.53,10:28.0,158.59,159,-0.41,,,,
1482443.39,10:28.0,66.86,66,0.86,,,,
1492303.47,10:37.9,9860.08,9861,-0.92,,,,
1492370.33,10:38.0,66.86,66,0.86,,,,
1564896.96,11:50.5,72526.63,72527,-0.37,,,,
1564964.75,11:50.6,67.79,68,-0.21,,,,
1565130.3,11:50.7,165.55,165,0.55,,,,
1565198.09,11:50.8,67.79,68,-0.21,,,,
1565573.64,11:51.2,375.55,376,-0.45,,,,
1565641.42,11:51.2,67.78,68,-0.22,,,,
1580609.86,12:06.2,14968.44,14968,0.44,,,,
1635642.48,13:01.2,55032.62,55033,-0.38,,,,
1635709.34,13:01.3,66.86,67,-0.14,,,,
1635840.34,13:01.4,131,131,0,,,,
1635927.59,13:01.5,87.25,87,0.25,,,,
1635994.46,13:01.6,66.87,67,-0.13,,,,
1636577.52,13:02.2,583.06,583,0.06,,,,
1636644.38,13:02.2,66.86,67,-0.14,,,,
1638600.42,13:04.2,1956.04,1956,0.04,,,,
1674612.57,13:40.2,36012.15,36012,0.15,,,,
1674679.43,13:40.3,66.86,67,-0.14,,,,
1697720.19,14:03.3,23040.76,23040,0.76,,,,
1697787.05,14:03.4,66.86,67,-0.14,,,,
1724857.36,14:30.5,27070.31,27071,-0.69,,,,
1724924.22,14:30.5,66.86,67,-0.14,,,,
1737618.18,14:43.2,12693.96,12694,-0.04,,,,
1740205.49,14:45.8,2587.31,2587,0.31,,,,
1741798.39,14:47.4,1592.9,1593,-0.1,,,,
1744803.67,14:50.4,3005.28,3005,0.28,,,,
1745263.47,14:50.9,459.8,460,-0.2,,,,
1745331.52,14:50.9,68.05,68,0.05,,,,
1745994.36,14:51.6,662.84,663,-0.16,,,,
1746057.38,14:51.7,63.02,63,0.02,,,,
1746125.43,14:51.7,68.05,68,0.05,,,,
1749893.22,14:55.5,3767.79,3768,-0.21,,,,
1810586.03,15:56.2,60692.81,60692,0.81,,,,
1811025.73,15:56.6,439.7,440,-0.3,,,,
1811093.79,15:56.7,68.06,68,0.06,,,,
1811870.04,15:57.5,776.25,776,0.25,,,,
1811933.06,15:57.5,63.02,63,0.02,,,,
1812001.11,15:57.6,68.05,69,-0.95,,,,
1819066.79,16:04.7,7065.68,7065,0.68,,,,
1821367.03,16:07.0,2300.24,2300,0.24,,,,
2176870.27,22:02.5,355503.24,355504,-0.76,,,,
2176937.13,22:02.5,66.86,67,-0.14,,,,
2358716.51,25:04.3,181779.38,181780,-0.62,,,,
2359143.82,25:04.7,427.31,427,0.31,,,,
2359211.88,25:04.8,68.06,68,0.06,,,,
2359924.63,25:05.5,712.75,713,-0.25,,,,
2359987.64,25:05.6,63.01,63,0.01,,,,
2360055.7,25:05.7,68.06,68,0.06,,,,
2360770.96,25:06.4,715.26,715,0.26,,,,
2458170.76,26:43.8,97399.8,97400,-0.2,,,,
2458237.62,26:43.8,66.86,67,-0.14,,,,
2458337.95,26:43.9,100.33,100,0.33,,,,
2497679.26,27:23.3,39341.31,39341,0.31,,,,
2497746.12,27:23.3,66.86,67,-0.14,,,,
2497883.19,27:23.5,137.07,137,0.07,,,,
2498603.63,27:24.2,720.44,721,-0.56,,,,
2498670.48,27:24.3,66.85,67,-0.15,,,,
2498786.33,27:24.4,115.85,115,0.85,,,,
2498945.78,27:24.5,159.45,160,-0.55,,,,
2499012.64,27:24.6,66.86,67,-0.14,,,,
2499523.61,27:25.1,510.97,511,-0.03,,,,
2499590.46,27:25.2,66.85,67,-0.15,,,,
2499753,27:25.3,162.54,162,0.54,,,,
2499819.86,27:25.4,66.86,67,-0.14,,,,
2500012.06,27:25.6,192.2,192,0.2,,,,
2500078.92,27:25.7,66.86,67,-0.14,,,,
2500241.46,27:25.8,162.54,163,-0.46,,,,
2500308.32,27:25.9,66.86,66,0.86,,,,
