bodyparts,RW,RW,RW,LW,LW,LW,RP,RP,RP,PP,PP,PP,LP,LP,LP,Nose,Nose,Nose,HB,HB,HB
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,439.6829529,342.414917,1,435.7073975,677.6328735,1,417.6304016,435.8704224,1,410.9457092,505.8197937,0.999999881,415.8130798,572.9318237,1,884.2331543,445.8442078,0.99592942,878.9330444,422.6348877,0.999990702
1,439.8205872,342.5341797,1,435.9206238,677.6328735,1,417.8239441,436.0001831,1,411.0324402,506.094635,0.999999881,415.8130798,573.0012207,1,885.9487305,446.1263428,0.999474227,879.4679565,422.7749939,0.99998033
2,440.3730164,342.5341797,1,435.9206238,677.8829346,1,418.0755005,436.3572083,1,411.0774841,506.2338257,0.999999881,415.8130798,573.0518799,1,886.4871216,446.1263428,0.999349415,879.4679565,422.7749939,0.999989986
3,440.3730164,342.4309387,0.999999881,435.9599304,677.670166,1,418.3377686,436.4239807,1,411.0774841,506.1097107,0.999999881,415.8130798,573.0518799,1,886.6376953,446.5759888,0.99798274,879.4679565,422.8311157,0.999991059
4,440.3730164,342.5341797,1,435.9206238,677.670166,1,417.8239441,436.3572083,1,411.0324402,506.094635,0.999999881,415.7997131,573.0968628,1,888.6390991,446.5759888,0.999657393,879.4679565,422.7749939,0.999987125
5,439.9437866,342.5341797,1,435.9206238,677.670166,1,417.8239441,436.3572083,1,411.0239563,506.094635,1,415.7997131,573.0968628,1,889.0053711,448.900238,0.999989033,879.4751587,421.8791504,0.999862432
6,439.9437866,342.5982056,1,435.9847717,677.670166,1,417.8832397,436.3572083,1,411.0117798,506.0523376,1,415.7997131,573.0081177,1,889.0053711,449.4670105,0.999987125,877.9337158,421.8791504,0.999836326
7,439.9437866,342.604187,1,435.9847717,677.670166,1,417.8832397,436.5336609,1,411.0117798,505.986969,0.999999881,415.7903442,573.0081177,1,889.0053711,450.3285217,0.999964833,877.9337158,422.8311157,0.999983311
8,439.9437866,342.6064758,1,435.9280396,677.666748,1,417.8832397,436.4999084,1,411.0117798,505.976593,1,415.7903442,573.0081177,1,887.1835327,453.4670715,0.999995828,875.3996582,426.0106506,0.999981046
9,440.0903931,342.6236877,1,435.9280396,677.6802368,1,417.9553833,436.5336609,1,411.2851257,505.986969,0.999999881,415.8856506,573.0081177,1,882.6969604,454.6863403,0.999985814,874.6500854,429.6116943,0.999977708
