,date,time,millis,event,pulseCount,rightCount,leftCount,dispensedCount,retrievedCount,rightWaterCount,leftWaterCount,LEDCount,toneCount,frontWaterCount,waterDispensedCount,rightWD_QTY,leftWD_QTY,frontWD_QTY,totalWD_QTY,rightWithPelletCount,leftWithPelletCount,rightDuringDispenseCount,leftDuringDispenseCount,rightinTimeoutCount,leftinTimeoutCount,synced_time
0,3/31/2026,10:59:18,7391051.11,RightWater,5,29,5,32,32,5,1,64,64,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,12:20:46.094
1,3/31/2026,10:59:18,7391117.72,WaterDispensed,10,29,5,32,32,5,1,64,64,0,6,0.05712,0.02856,0,0.08568,0,0,0,0,0,0,12:20:46.160
2,3/31/2026,10:59:18,7391219.73,RightWater,5,29,5,32,32,6,1,64,64,0,6,0.05712,0.02856,0,0.08568,0,0,0,0,0,0,12:20:46.262
3,3/31/2026,10:59:20,7393297.34,RightWater,5,29,5,32,32,7,1,64,64,0,6,0.05712,0.02856,0,0.08568,0,0,0,0,0,0,12:20:48.340
4,3/31/2026,10:59:20,7393363.95,WaterDispensed,10,29,5,32,32,7,1,64,64,0,7,0.0714,0.02856,0,0.09996,0,0,0,0,0,0,12:20:48.406
5,3/31/2026,10:59:20,7393631.13,RightWater,5,29,5,32,32,8,1,64,64,0,7,0.0714,0.02856,0,0.09996,0,0,0,0,0,0,12:20:48.674
6,3/31/2026,10:59:20,7393697.75,WaterDispensed,10,29,5,32,32,8,1,64,64,0,8,0.08568,0.02856,0,0.11424,0,0,0,0,0,0,12:20:48.740
7,3/31/2026,10:59:21,7394796.73,RightWater,5,29,5,32,32,9,1,64,64,0,8,0.08568,0.02856,0,0.11424,0,0,0,0,0,0,12:20:49.839
8,3/31/2026,10:59:21,7394863.33,WaterDispensed,10,29,5,32,32,9,1,64,64,0,9,0.09996,0.02856,0,0.12852,0,0,0,0,0,0,12:20:49.906
9,3/31/2026,10:59:22,7395982,RightWater,5,29,5,32,32,10,1,64,64,0,9,0.09996,0.02856,0,0.12852,0,0,0,0,0,0,12:20:51.024
10,3/31/2026,10:59:23,7396048.6,WaterDispensed,10,29,5,32,32,10,1,64,64,0,10,0.11424,0.02856,0,0.1428,0,0,0,0,0,0,12:20:51.091
11,3/31/2026,10:59:25,7398081.3,RightWater,5,29,5,32,32,11,1,64,64,0,10,0.11424,0.02856,0,0.1428,0,0,0,0,0,0,12:20:53.124
12,3/31/2026,10:59:25,7398147.93,WaterDispensed,10,29,5,32,32,11,1,64,64,0,11,0.12852,0.02856,0,0.15708,0,0,0,0,0,0,12:20:53.190
13,3/31/2026,10:59:27,7400529.36,RightWater,5,29,5,32,32,12,1,64,64,0,11,0.12852,0.02856,0,0.15708,0,0,0,0,0,0,12:20:55.572
14,3/31/2026,10:59:27,7400595.98,WaterDispensed,10,29,5,32,32,12,1,64,64,0,12,0.1428,0.02856,0,0.17136,0,0,0,0,0,0,12:20:55.638
15,3/31/2026,10:59:28,7401684.37,RightWater,5,29,5,32,32,13,1,64,64,0,12,0.1428,0.02856,0,0.17136,0,0,0,0,0,0,12:20:56.727
16,3/31/2026,10:59:28,7401751.01,WaterDispensed,10,29,5,32,32,13,1,64,64,0,13,0.15708,0.02856,0,0.18564,0,0,0,0,0,0,12:20:56.794
17,3/31/2026,10:59:30,7403706.25,RightWater,5,29,5,32,32,14,1,64,64,0,13,0.15708,0.02856,0,0.18564,0,0,0,0,0,0,12:20:58.749
18,3/31/2026,10:59:30,7403772.85,WaterDispensed,10,29,5,32,32,14,1,64,64,0,14,0.17136,0.02856,0,0.19992,0,0,0,0,0,0,12:20:58.815
19,3/31/2026,10:59:33,7406224.58,RightWater,5,29,5,32,32,15,1,64,64,0,14,0.17136,0.02856,0,0.19992,0,0,0,0,0,0,12:21:01.267
20,3/31/2026,10:59:33,7406291.2,WaterDispensed,10,29,5,32,32,15,1,64,64,0,15,0.18564,0.02856,0,0.2142,0,0,0,0,0,0,12:21:01.334
